date,Before Translation,Review,Author,Location,Before Pronoun Resolution,Brand,Flavour,No of Ratings,Price,Product Rating,Review Rating,Review Title,Root,SKU,Source
2017-09-13 00:00:00+00:00,,"I love these fruit snacks for my young daughter.  They are soft, so they're easy to chew.  I like that they are all natural.  These are used as a treat in my house, so it makes me feel good to be giving her something she loves and is not bad for her or super sugary.",Elizabeth S Preston,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,5,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2016-10-04 00:00:00+00:00,,Love these snacks!,Samantha,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,5,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2018-01-09 00:00:00+00:00,,Keep in mind these are veg/vegan. That means no gelatin. All these people complaining about the texture. It's obviously not going go be the same. They are delicious vegan fruit snacks.,Megan Seals,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,5,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2019-07-22 00:00:00+00:00,,My son loves these the variety boz is prefect there all his favorite,danielle,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,5,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2019-05-19 00:00:00+00:00,,Not what I was looking for. Not vegan,Timotheous Thomas,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,1,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2017-02-10 00:00:00+00:00,,yummy treat and healthy too,marilyn,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,5,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2018-12-20 00:00:00+00:00,,Yum! Kids love these vegan gummies,SavageFinds,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,5,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2019-08-16 00:00:00+00:00,,Great flavor,N. Roodsari,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,5,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2017-09-03 00:00:00+00:00,,"Not a fan of this one. I do like Annie's products and the brand in general, but these fruit snacks are way to gummy and sticky. The texture is a real turn off.",theRett,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,2,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
2020-08-09 00:00:00+00:00,,Great for a small sweet treat.  No artificial sweeteners.  Hard to limit oneself to only 1 pack at a time.,Bob G of Troy,,,Annies,Flavor: fruit snacks 24 ct,,,4.5,4,,https://www.amazon.com/Annies-Organic-Snacks-Variety-Pouches/product-reviews/B003V5V5J6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Annie's Organic Bunny Fruit Snacks, Variety Pack, Gluten Free, Vegan, 24 ct",Amazon
